Column1;Column2;Column3;Column4
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/accessori-casa/diffusori-di-aromi;4955;719;1,45106E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/cura-dei-capelli/spazzole-modellanti;6340;1133;1,78707E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/home-cinema;8409;1709;2,03235E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/pulizia/bidoni-aspiratutto;5213;786;1,50777E+15
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/utensili-da-cucina;8016;1703;2,1245E+15
https://www.mediaworld.it/catalogo/grandi-elettrodomestici/colonne-bucato;8160;1731;2,12132E+16
https://www.mediaworld.it/catalogo/console-e-pc-gaming/pc-gaming/tastiere-gaming;7430;1568;2,11036E+15
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/hi-fi/mini-e-micro-hi-fi;8099;1693;2,09038E+16
https://www.mediaworld.it/catalogo/grandi-elettrodomestici/cottura/cucine;8602;1683;1,95652E+15
https://www.mediaworld.it/catalogo/computer-e-smart-home/ufficio/plastificatrici;5985;1058;1,76775E+15
https://www.mediaworld.it/catalogo/foto-e-videocamere;4699;640;1,36199E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/ufficio/rilegatrici-e-taglierine;5408;868;1,60503E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/accessori-casa;8040;1691;2,10323E+16
https://www.mediaworld.it/catalogo/foto-e-videocamere/obiettivi-reflex/macro-reflex;5268;788;1,49582E+13
https://www.mediaworld.it/catalogo/telefonia;4562;604;1,32398E+15
https://www.mediaworld.it/mw/informazioni/nescafe-dolcegusto;2606;472;1,8112E+16
https://www.mediaworld.it/catalogo/telefonia/telefonia-fissa/accessori-telefonia-fissa;6674;1387;2,07821E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/baby-care/baby-monitor;4873;685;1,4057E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/utensili-da-cucina/pentole-e-padelle;5949;1058;1,77845E+16
https://www.mediaworld.it/catalogo/console-e-pc-gaming/pc-gaming/volanti-e-controller;6059;1117;1,84354E+16
https://www.mediaworld.it/catalogo/foto-e-videocamere/videocamere/dash-cam;4854;674;1,38855E+15
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/pulizia/aspirapolvere;8206;1703;2,07531E+16
https://www.mediaworld.it/catalogo/grandi-elettrodomestici/complementi-cucina/lavelli-a-due-vasche;8381;1691;2,01766E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/cura-dei-capelli;8376;1729;2,06423E+16
https://www.mediaworld.it/catalogo/grandi-elettrodomestici/frigoriferi/accessori-frigoriferi;6538;1287;1,96849E+16
https://www.mediaworld.it/catalogo/grandi-elettrodomestici/cottura;11056;1763;1,59461E+16
https://www.mediaworld.it/product/p-991240;4846;734;1,51465E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/ipad/caricabatterie-ipad;5944;1054;1,77322E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/smart-home-comfort/illuminazione-smart;7860;1675;2,13104E+16
https://www.mediaworld.it/catalogo/console-e-pc-gaming/sony-playstation-3/accessori-ps3;5550;921;1,65946E+16
https://www.mediaworld.it/catalogo/foto-e-videocamere/accessori-fotografia/carta-fotografica;5714;970;1,69758E+15
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema;4792;667;1,3919E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/caffe/moka;5889;1025;1,74053E+14
https://www.mediaworld.it/catalogo/console-e-pc-gaming/retrogaming;4707;633;1,34481E+16
https://www.mediaworld.it/product/p-982023/motorola-moto-g6-play-deep-indigo;5181;800;1,5441E+16
https://www.mediaworld.it/catalogo/foto-e-videocamere/action-cam/accessori-action-cam;7851;1719;2,18953E+16
https://www.mediaworld.it/catalogo/film-musica-e-tempo-libero/strumenti-musicali/tastiere;4974;725;1,45758E+15
https://www.mediaworld.it/product/p-983734;5017;794;1,58262E+15
https://www.mediaworld.it/mw/mediaworld-it/informazioni/garanzia-produttore;2430;353;1,45267E+16
https://www.mediaworld.it/catalogo/foto-e-videocamere/action-cam;8351;1723;2,06323E+15
https://www.mediaworld.it/catalogo/computer-e-smart-home/mac/macbook-air;5868;959;1,63429E+15
"https://www.mediaworld.it/search/*?category=&amp;substringFilterCustomKeywords=VOL_25_270319";21859;5234;2,39444E+16
https://www.mediaworld.it/catalogo/grandi-elettrodomestici/complementi-cucina/lavelli-ad-una-vasca;7946;1604;2,01863E+15
https://www.mediaworld.it/catalogo/computer-e-smart-home/smart-home-energia;6301;1164;1,84733E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/computer/all-in-one;7771;1577;2,02934E+16
https://www.mediaworld.it/mw/informazioni/index-servizi;2391;360;1,50565E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/smart-home-comfort;7964;1687;2,11828E+16
